A	B	C	id_osoby
86,32	87,93	80,86	74
8,16	17,75	71,85	75
72,33	46,02	55,3	76
34,66	69,35	70,43	77
73,62	43,9	81,36	78
17,17	81,18	41,6	79
10,09	75,07	90,35	80
23,71	5,47	78,81	81
41,32	46,54	21,85	82
60,67	100,63	9,82	83
78,87	57,27	9,42	84
41,63	84,92	58,06	85
86,78	63,36	44,48	86
84,2	27,88	52,23	87
89,13	43,76	26,6	88
82,89	16,98	65,27	89
94,52	44,45	62,3	90
81,05	93,89	75,41	91
68,72	77,93	29,62	92
90,2	61,36	38,52	93
82,58	98,06	91,96	94
36,84	49,28	84,67	95
80,65	24,25	94,75	96
80,5	5,71	39,77	97
44,12	11,17	32,79	98
37,56	91,07	8,22	99
88,7	74,28	45,17	100
67,98	29,5	85,06	101
15,44	15,26	13,91	102
31,75	77,81	74,07	103
1,68	13,01	71,41	104
13,33	70,42	35,07	105
43,35	52,91	41,93	106
95,63	61,42	9,87	107
72,68	7,41	80,65	108
64,22	38,52	72,34	109
25,15	83,17	64,55	110
47,18	81,09	98,91	111
54,99	68,63	24,25	112
4,78	59,8	1,26	113
1,69	24,11	73,44	114
46,03	19,67	24,47	115
76,22	62	26,99	116
12,67	93,83	84,01	117
95,3	75,95	51,71	118
74,84	77,61	59,84	119
11,5	26,02	77,22	120
41,78	92,84	79,44	121
12,48	7,45	76,21	122
68,07	26,98	53,26	123
91,31	87,76	59,45	124
75,73	58,07	64,15	125
76,75	85,32	64,95	126
92,46	60,37	31,47	127
8,65	67,95	16,37	128
100,91	85,16	83,15	129
23,28	38,54	27,6	130
43,2	13,19	74,41	131
43,95	68,99	79,54	132
24,27	84,9	12,75	133
71,11	68,22	7,62	134
97,14	32,02	26,31	135
96,43	78,87	94,73	136
73,58	84,26	4,61	137
10,77	46,66	21	138
48,9	14,19	4,08	139
16,2	77,13	48,86	140
36,75	72,89	83,13	141
91,22	28,97	8,03	142
34,67	85,69	99,1	143
33	95,88	33,82	144
21,74	16,4	93,27	145
0,67	36,86	100,7	146
98,3	80,64	55,57	147
54,95	51,28	75,59	148
99,31	23,21	30,14	149
89,9	3,96	1,53	150
23,54	24,03	55,97	151
24,94	22,58	30,25	152
30,19	21,94	53,38	153
81,81	30,57	29,76	154
84,02	42,12	89,87	155
77,84	18,57	79,45	156
52,21	70,35	64,07	157
58,57	97,2	71,76	158
12,69	62,71	58,5	159
80,44	48,72	40,16	160
95,24	17,2	19,13	161
66,51	49,69	86,94	162
92,27	28,68	66,67	163
1,84	49,54	39,79	164
70,5	75,37	95,74	165
23,54	71,05	35,57	166
98,17	83,94	36,85	167
50,64	24,65	18,12	168
31,77	6,85	78,71	169
73,37	31,05	75,96	170
53,99	64,83	1,42	171
91,61	69,74	48,96	172
47,01	25,34	10,33	173
29,48	81,95	35,19	174
96,05	16,63	71,4	175
20,42	80,23	9,58	176
100,49	33,54	39,43	177
88,03	51,34	86,86	178
100,44	28,55	73,83	179
18,73	95,26	89,63	180
65,41	92,17	8,61	181
14,23	43,17	58,83	182
27,49	17,64	84,44	183
70,77	14,78	70,77	184
40,26	72,74	21,24	185
50,71	83,15	35,14	186
1,86	3,76	82,52	187
30,75	38,92	78,33	188
61,7	98,36	60,66	189
44,11	27,93	11,29	190
24,28	35,42	34,95	191
3,48	60,99	55,04	192
21,53	68,7	89,23	193
93,97	60,67	19,22	194
37,03	38,99	49,72	195
80,14	3,65	16,21	196
4,56	29,37	93,78	197
16,25	37,03	78,56	198
27,13	48,68	9,75	199
3,88	63,84	36,52	200
100,86	7,63	51,38	201
72,32	38,21	23,86	202
25,71	28,5	5,92	203
61,61	99,21	1,01	204
10,15	17,51	84,73	205
87,72	86,38	37,78	206
95,57	15,47	38,83	207
29,66	25,51	75,03	208
12,72	95,55	75,18	209
22,54	11,7	73,38	210
62,56	26,01	81,53	211
32,5	51,77	24,89	212
7	40,83	15,91	213
50,15	40,95	81,53	214
82,42	17,48	56,5	215
16,43	24,19	9,11	216
87,29	77,96	97,5	217
88,7	43,66	87,51	218
75,25	61,29	0,41	219
63,15	86,35	30,15	220
64,02	66,74	91,33	221
100,97	91,79	89,94	222
50,2	84,9	96,98	223
75,61	68,37	87,71	224
74,67	40,04	71,58	225
69,16	71,54	16,51	226
75,35	73,67	20,21	227
29,62	50,8	44,6	228
52,47	89,81	44	229
6,81	24,02	98,32	230
64,92	42,59	38,15	231
26,31	25,47	85,98	232
29,52	2,82	13,37	233
81,6	59,28	16,87	234
40,87	77,72	72,06	235
48,46	47,56	9,24	236
74,36	83,16	4,91	237
55,84	9,79	92,81	238
86,26	12,35	8,99	239
62,97	50,15	76,1	240
89,17	100,19	31,69	241
44,63	7,58	87,58	242
46,92	92,48	31,4	243
57,86	3,25	28,41	244
89,36	9,86	22,75	245
61,14	61,19	25,9	246
25,53	9,95	65,57	247
2,4	62,59	29,77	248
75,78	67,86	64,85	249
55,3	64,21	77,99	250
71,4	18,04	99,54	251
1,79	63,31	31,33	252
46	17,34	87,33	253
10,4	25,87	79,56	254
77,36	60,26	17,95	255
1,09	4,56	18,93	256
97,19	45,17	68,75	257
19,44	19,93	78,37	258
95,28	63,62	52,03	259
42,29	87,06	50,17	260
97,86	62,43	0,11	261
30,27	91,2	69,3	262
22,72	93,42	67,69	263
6,16	53,88	18,5	264
67,23	55,19	96,52	265
94,73	61,52	78,87	266
79,73	39,93	65,55	267
2,58	83,57	18,71	268
30,71	92,03	38,7	269
0,86	92,19	98,23	270
32,85	25,44	78,66	271
43,45	83,46	96,44	272
2,67	31,41	66,88	273
95,57	9,53	20,49	274
28,69	87,28	41,73	275
84,27	34,52	86,08	276
61,42	52,23	69,56	277
21,12	100,62	18,91	278
55,21	33,51	53,18	279
67,49	72,15	58,41	280
0,56	71,17	32	281
35,62	80,73	75,55	282
84,54	37,38	57,07	283
86,19	19,59	50,72	284
35,81	55,88	36,36	285
100,4	59,25	36,51	286
23,21	13,44	7,48	287
49,52	75,51	10,91	288
6,94	52,42	95,34	289
91,57	59,7	76,55	290
73,76	77,59	4,2	291
0,82	80,27	37,42	292
96,06	83,96	9,4	293
35,98	61,98	37,29	294
65,22	49,92	60,24	295
72,36	45,65	33,54	296
6,47	14,46	59,88	297
19,33	51,46	53,76	298
53,6	71,77	48,84	299
91,64	90,3	98,51	300
21,7	61,11	80,25	301
55,31	62,68	6,93	302
23,17	41,8	81,17	303
34,53	26,43	68,19	304
69,77	84,16	36,91	305
71,71	14,25	98,94	306
90,67	3,57	46,19	307
14,92	6,1	24,66	308
22,96	49,85	71,13	309
83,62	26,17	35,44	310
20,11	89,22	94,3	311
47,43	17,93	82,17	312
9,42	69,32	53,22	313
52,46	58,96	48,4	314
88,97	45,17	31,47	315
20,08	87,39	64,24	316
96,8	11,75	26,92	317
97,74	63,08	91,69	318
100,48	40,81	52,68	319
91,07	100,74	29,03	320
34,69	24,9	89,37	321
2,93	58	69,9	322
55,82	34,43	82,16	323
85,18	96,14	68,18	324
34,86	76,09	65,87	325
32,59	88,07	95,2	326
36,36	3,34	32,76	327
27,32	79,49	91,08	328
69,76	50,44	13,37	329
97,02	31,72	78,83	330
77,23	22,94	36,48	331
51,92	93,76	60,14	332
79,4	15,77	3,17	333
18,86	33,73	77,6	334
3,52	25,66	4,44	335
6,23	68,5	5,77	336
78,23	17,13	6,43	337
51,99	35,92	56,83	338
87,86	41,52	35,88	339
97,92	15,9	91,96	340
26,71	34,97	100,66	341
56,93	17,64	93,98	342
76,88	75,87	29,54	343
97,78	21,35	42,96	344
28,51	56,65	90,66	345
58,52	40,7	68,89	346
35,95	29,33	45,8	347
87,66	85,24	6,66	348
87,57	61,23	97,15	349
44,58	13,26	100,15	350
32,63	4,63	18,19	351
28,34	44,3	19,83	352
76,93	36,82	100,07	353
87,74	92,37	54,49	354
19,77	20,17	47,27	355
13,04	97,67	74,22	356
52,26	6,87	85,98	357
96,93	64,86	42,1	358
72,6	83,04	68,23	359
56,75	46	50,65	360
91,15	46,04	12,39	361
12,23	98,22	37,09	362
37,64	95,97	72,8	363
70,35	100,79	19,78	364
46,68	10,01	94,92	365
99,69	74,51	75,69	366
84,29	89,94	22,18	367
64,42	20,92	35,11	368
31,57	80,52	41,29	369
27,34	52,02	33,94	370
0,85	45,84	52,61	371
6,79	53,8	72,33	372
22,71	42,38	92,48	373
37,43	14,53	25,69	374
49,46	80,27	62,82	375
50,91	99,62	41,76	376
61,65	39,11	78,59	377
84,54	44,59	40,85	378
58,34	71,86	33,69	379
64,59	13,37	88,93	380
20,86	4,83	47,07	381
92,56	18,69	43,05	382
21,36	22,16	77,73	383
27,89	71,08	63,9	384
64,61	87,05	58,5	385
93,87	57,17	57,84	386
53,98	90,56	79,77	387
77,45	86,63	80,96	388
90,18	10,3	16,52	389
61,18	15,72	73,04	390
3,56	60,48	52,27	391
33,73	86,25	78,49	392
54,2	39,27	89,32	393
54,93	94,99	29,92	394
73,15	48,43	46,45	395
79,76	30,25	0,59	396
39,37	58,6	99,86	397
88,84	11,88	14,32	398
21,14	6,94	26,44	399
51,78	17,24	45,3	400
9,43	86,76	44,51	401
78,24	87,07	15,15	402
44,94	80,09	45,24	403
5,72	27,87	12,81	404
34,03	93,33	60,83	405
18,29	40,43	84,32	406
29,61	91,95	13,26	407
70,09	19,14	51,4	408
96,51	87,74	85,92	409
78,86	33,87	92,14	410
80,71	91,6	55,61	411
4,29	60,18	39,92	412
88,59	67,79	59,32	413
3,79	3,83	2,08	414
12,15	74,2	45,04	415
87,71	2,87	98,22	416
59,35	16,05	1,54	417
93,75	63,73	76,02	418
22,5	15,07	85,22	419
15,35	60,76	66,81	420
83,88	67,5	8,11	421
66,12	13,27	35,59	422
89,69	37,18	87,14	423
37,96	64,73	53,07	424
98,77	22,18	30,81	425
46,51	24,15	94,6	426
14,02	48,25	89,17	427
79,88	53,46	15,46	428
31,38	10,7	61,73	429
59,89	12,43	54,77	430
98,8	11,13	59,19	431
10,79	92,33	77,76	432
41,94	55,37	17,98	433
43,46	67,2	93,89	434
8,56	21,33	58,76	435
64,21	93,09	7,99	436
100,39	78,03	41,67	437
27,26	23,06	77,12	438
91,91	4,3	87,37	439
19,12	93,37	1,61	440
0,19	97,46	24,27	441
71,59	86,75	31,71	442
54,24	57,59	9,55	443
85,34	28,09	53,99	444
46,41	71,17	86,33	445
67,66	97,03	34,66	446
84,44	15,58	38,73	447
28,09	82,9	96,61	448
69,67	49,73	1,24	449
41,05	73,51	76,96	450
12,53	47,04	82,51	451
83	52,98	54,34	452
46,65	30,41	76,4	453
10,32	55,73	15,85	454
21,98	84,85	100,96	455
58,55	86,8	59,1	456
62,37	89,96	94,53	457
1,11	85	11,33	458
61,75	30,12	41,79	459
94,44	40,63	51,55	460
21,13	64,96	12,34	461
82,44	100,13	8,41	462
90,29	93,54	43,16	463
54,32	64,09	7,03	464
67,27	87,83	88,32	465
62,27	26,78	59,69	466
83,31	60,82	99,94	467
48,27	15,08	92,06	468
90,09	50,58	12,93	469
25,08	5,56	49,44	470
68,66	67,94	22,72	471
34,97	87,97	32,82	472
70,53	94,9	45,09	473
86,23	95,08	29,85	474
25,12	66,85	98,68	475
13,32	81,38	54,66	476
100,11	24,91	27,55	477
77,14	25,61	89,23	478
88,9	77,96	82,2	479
95,02	5,15	54,88	480
81,21	97,75	24,28	481
26,84	3,26	60,57	482
81,36	93,01	99,72	483
36,37	20,05	19,85	484
69,78	32,68	26,16	485
75,22	83,53	30,96	486
85,1	16,92	58,85	487
77,34	19,37	35,45	488
64,12	68,37	39,47	489
61,13	4,92	17,59	490
10,66	72,24	52,28	491
58,75	40,23	26,78	492
14,9	71,94	29,03	493
15,33	96,97	27,14	494
95,96	59,3	78,3	495
97,39	99,66	23,84	496
55,31	14,41	89,52	497
1,11	19,61	84,76	498
7,45	38,46	59,95	499
13,83	100,73	88,55	500
78,49	97,68	79,34	501
47,65	37,82	47,52	502
47,94	27,32	5,92	503
24,96	72,86	79,08	504
31,85	68,25	13,56	505
46,92	79,76	27,4	506
31,35	67,21	57,89	507
40,25	17,5	74,39	508
89,68	84,83	76	509
3,81	59,79	10,73	510
15,2	45,08	77,29	511
46,43	53,81	20,95	512
60,33	9,46	94,89	513
21,05	86,26	70,51	514
66,76	80,71	2,53	515
25,95	74,73	24,51	516
70,86	63,16	38,26	517
75,56	30,34	1,11	518
27,78	20,07	62,63	519
77,48	13,28	86,39	520
18,32	44,36	19,88	521
72,73	5,37	12,9	522
40,41	31,11	89	523
77,25	69,47	51,81	524
73,4	9,61	26,4	525
25,85	79,57	28,02	526
88,36	12,75	76,57	527
20,41	73,3	86,13	528
7,37	1,86	90,71	529
78,65	39,1	13,1	530
95,13	97,23	17,3	531
32,62	76,46	50,62	532
41,65	56,32	83,17	533
66,52	3,14	64,36	534
87,82	36,76	71,41	535
46,14	30,87	85,2	536
10,32	67,92	31,66	537
14,26	26,74	66,01	538
11,53	38,4	99,05	539
40,87	38,35	70,2	540
39,91	28,97	58,8	541
70,95	24,38	61,32	542
24,23	23,81	8,34	543
21,36	68,42	48,63	544
39,65	35,89	18,28	545
94,61	4,97	64,73	546
69,31	93,19	12,62	547
57,33	72,91	3,52	548
14,22	51,21	14,59	549
93,13	97,57	88,79	550
76,38	27,5	93,95	551
74,19	42,19	56,79	552
95,77	51,73	55,51	553
84,92	33,95	98,76	554
7,74	63,89	6,59	555
33,58	79,54	33,72	556
34,65	84,59	39,89	557
86,34	71,93	35,2	558
90,54	48,39	66,42	559
20,39	85,86	72,5	560
16,63	21,49	87,12	561
1,06	93,41	55,94	562
9,63	21,1	52,24	563
11,57	43,01	77,36	564
55,38	0,59	4,41	565
89,18	30,09	61,7	566
31,07	73,51	90,91	567
81,13	74,16	21,39	568
11,71	76,69	84,95	569
6,74	13,47	41,38	570
32,38	66,36	5,55	571
32	77,66	88,03	572
15,7	25,95	91,05	573
57,89	18,4	69,21	574
54,28	89,77	81,41	575
9,56	30,81	99,84	576
72,14	48,07	93,47	577
15,04	97,19	67,62	578
43,9	82,82	49,37	579
15,34	24,85	57,14	580
5,02	83,35	72,14	581
90,37	54,49	26,98	582
91,44	33,14	39,29	583
66,64	40,51	57,4	584
97,14	10,73	50,5	585
5,77	88,66	78,84	586
9,83	69,25	26,69	587
54,43	60,91	43,23	588
44,39	27,82	33,49	589
14,05	26,97	3,02	590
16,01	10,93	67,07	591
86,69	50,55	36,35	592
90,39	80,64	62,1	593
6,52	44,99	73,7	594
76,13	22,26	80,91	595
57,39	35,94	30,51	596
99,08	47,59	35,33	597
52,15	25,81	76,94	598
53,7	98,66	75,1	599
31	87,49	93,45	600
61,45	37,61	61,71	601
30,7	33,02	53,09	602
47,1	93,58	23,13	603
36,01	30,53	9,9	604
61,97	78,8	88,9	605
14,28	44,61	38,63	606
98,09	100,68	8,76	607
38,67	70,22	51,14	608
7,18	43,39	72,96	609
26,34	94,13	52,78	610
25,26	25,48	85,23	611
5,74	90,51	44,26	612
55,07	86,67	22,93	613
96,87	3,56	10,7	614
84,87	94,25	30,13	615
13,59	63,81	46,93	616
73,37	98,29	84,72	617
15,71	94,69	63,39	618
52,93	16,49	23,91	619
89,2	73,36	34,7	620
49,04	25,4	33,23	621
77,97	75,57	67,33	622
66,01	59,6	70,87	623
53,84	85,89	21,35	624
96,41	88,56	30,87	625
24,42	77,21	91,4	626
66,37	36,52	71,08	627
58,45	1,86	40,82	628
83,04	98,56	45,04	629
98,03	45,53	24,34	630
83,79	33,1	43,04	631
13,73	78,07	11,2	632
82,82	41,15	68,67	633
53,95	20,49	4,4	634
63,08	100,21	80,71	635
23,99	79,48	27,73	636
5,88	39,38	39,14	637
15,25	2,26	34,35	638
1,55	39,61	25,39	639
20,45	79,73	78,65	640
28,86	93,61	97,15	641
16,02	24,79	100,02	642
40,58	95,15	66,8	643
67,33	0,93	12,6	644
70,01	27,78	65,73	645
20,81	13,08	24,58	646
74,17	29,03	95,93	647
68,84	74,6	57,55	648
66,26	27,63	27,14	649
34,56	17,2	78,71	650
20,68	74,3	98,8	651
45,3	59,04	62,8	652
0,2	79,88	44,45	653
43,06	10,85	14,5	654
25,31	100,56	9,26	655
76,91	95,17	84,75	656
51,4	87,61	46,89	657
82,74	34,78	98,78	658
76,7	88,51	27,76	659
82,51	86,91	82,86	660
33,69	78,69	53,62	661
98,03	75,41	19,25	662
4,69	11,97	90,82	663
51,32	37	93,28	664
62,09	73,01	83,17	665
78,9	95,06	60,72	666
98,47	14,39	42,27	667
41,36	10,72	93,34	668
20,32	9,05	4,82	669
19,92	74,35	56,19	670
67,98	91,14	32,44	671
85,15	35,38	28,78	672
46,37	5,49	65,85	673
72,66	63,7	9,91	674
83,54	17,61	12,18	675
55,59	80,57	53,97	676
25,25	70,96	74,66	677
7,27	0,16	22,39	678
17,45	35,72	32,74	679
87,99	36,79	52,69	680
30,6	3,96	53,76	681
41,55	74,52	83,35	682
2,21	77,36	98,41	683
26,24	46,32	63,45	684
32,12	39,01	12,38	685
51,25	52,03	99,53	686
86,02	48,96	70,97	687
95,21	50,57	27,43	688
69,45	49,95	36,3	689
16,54	29,29	91,13	690
67,37	95,06	34,48	691
53,42	60,82	87,8	692
25,08	47,87	73,21	693
71,21	13,28	94,71	694
78,76	54,09	29,71	695
29,22	57,8	33,28	696
79,59	33,26	91,45	697
89,07	84,76	71,72	698
64,77	38,19	64,83	699
64,94	54,78	78,06	700
95,31	22,23	4,22	701
61,59	35,58	11,66	702
21,03	70,53	13,94	703
87,58	37,23	15,55	704
39,45	90,68	48,93	705
11,18	51,99	60,56	706
35,16	24,24	65,74	707
52,36	22,46	69,11	708
70,88	25,42	0,25	709
42,53	39,51	79,15	710
67,45	71,06	19,91	711
29,26	60,1	63,29	712
98,14	97,56	33,15	713
14,99	27,7	60,77	714
57,85	85,73	21,16	715
22,32	28,13	7,42	716
66,66	28,68	83,82	717
38,73	92,96	26,13	718
81,39	92,82	59,77	719
7,84	28,68	85,42	720
61,92	30,04	38,96	721
74,59	64,8	17,32	722
78,41	57,94	17,62	723
92,96	79,54	50,57	724
40,18	16,47	24,43	725
79,55	46,31	16,3	726
9,5	9,87	40,1	727
61,15	49,98	78,03	728
64,71	79,68	41,57	729
0,51	69,51	57,28	730
57,86	29,81	83,75	731
23,69	42,25	53,74	732
17,53	51,91	60,76	733
35,52	69,5	57,9	734
94,88	78,05	97,91	735
25,08	28,32	90,55	736
76,88	75,87	51,64	737
99,69	87,09	38,64	738
99,12	94,17	89,63	739
87,25	85,86	64,98	740
69,42	22,26	12,3	741
95,69	60,53	12,16	742
71,05	72,72	44,06	743
89,33	23,64	19,16	744
38,02	30,72	22,52	745
71,8	13,87	16,2	746
85,33	95,38	32,36	747
71,4	18,46	78,73	748
29,5	93,73	93,97	749
56,92	35,87	12,07	750
24,56	70,69	94,59	751
29,3	69,33	65,78	752
21,96	49,9	61,2	753
33,03	89,68	55,2	754
96,32	17,11	81,72	755
13,79	35,9	47,84	756
52,8	52,96	63,23	757
30,9	91,9	96,61	758
42,45	23,77	18,11	759
41,89	15,22	21,43	760
81,22	71,39	68,46	761
27,34	37,08	67,62	762
62,98	69,28	54,03	763
32,93	54,47	92,96	764
79,65	48,42	43,39	765
7,01	16,51	28,22	766
96,36	21,64	32,47	767
12,72	80,48	56,33	768
38,37	5,66	0,77	769
83,85	55,05	98,09	770
48,75	65,26	7,53	771
19,86	64,46	78,08	772
14,77	57,57	53,06	773
16	52,53	93,92	774
88,52	71,02	58,58	775
16,93	85,3	45,74	776
89,23	27,25	31,95	777
82,78	97,62	73,82	778
0,01	92,01	83,41	779
92,96	39,47	99,4	780
5,71	3,18	75,85	781
10,05	93,76	91,86	782
23,58	88,91	36,3	783
89,42	59,25	19,48	784
94,7	49,01	72,07	785
9,55	52,22	80,99	786
52,5	45,55	43,43	787
2,62	77,58	95,39	788
24,48	57,53	96,72	789
37,17	22,65	23,27	790
40,85	49,51	10,69	791
30,13	26,21	79,51	792
44,98	66,23	2,84	793
58,51	69,51	83,01	794
50,23	26,14	7,8	795
6,33	55,97	47,52	796
14,62	2,77	68,58	797
48,81	57,91	76,88	798
1,1	35,51	74,98	799
47,62	36,87	41,2	800
