Pokrycie R G B K
16 3 3 1 20
35 4 6 3 26
18 2 2 3 12
64 17 14 9 30
41 9 3 9 34
10 1 2 5 16
8 3 3 4 6
48 13 12 2 36
56 6 5 4 49
20 8 6 3 16
39 4 12 4 30
28 7 8 2 18
14 5 4 5 11
24 4 5 9 19
22 2 4 1 18
25 6 3 3 17
13 4 4 5 8
51 2 5 13 44
13 5 4 3 10
63 16 16 13 25
14 2 6 3 16
60 18 6 4 47
19 4 4 1 12
46 2 1 11 37
18 2 5 4 21
17 2 2 4 15
35 9 9 7 12
55 2 12 13 32
50 12 6 12 22
71 1 1 4 67
24 5 2 4 15
52 1 13 1 51
47 12 5 6 39
13 1 4 3 8
67 6 5 15 43
16 3 7 4 15
47 11 14 13 18
36 9 10 2 27
73 3 10 7 54
38 5 4 4 32
51 13 8 9 32
53 13 9 1 35
20 6 7 1 20
64 3 13 17 38
45 6 1 1 45
47 5 6 14 32
32 1 2 7 25
56 9 5 4 49
11 6 3 2 14
18 4 6 4 19
64 11 13 9 34
47 11 5 3 32
59 18 12 4 39
41 2 6 9 28
20 7 4 5 15
41 11 5 2 27
6 2 3 1 15
32 6 5 5 17
28 1 7 6 18
50 6 14 1 37
17 1 4 2 23
54 3 16 12 33
71 3 1 6 63
50 14 2 14 33
41 11 9 4 23
29 4 5 2 20
69 9 11 14 41
20 6 3 8 17
7 3 1 5 11
43 1 1 8 47
16 6 2 2 14
34 1 4 2 34
51 5 5 14 40
54 1 7 15 38
59 13 8 12 38
29 5 3 3 26
20 1 4 3 26
57 17 15 7 31
21 5 6 1 19
36 9 3 6 23
9 2 3 5 10
38 10 11 3 28
16 2 1 3 17
37 8 8 2 21
59 11 9 6 40
22 1 2 1 23
50 11 10 13 21
49 2 2 5 50
51 13 13 1 28
56 9 2 9 42
51 14 8 10 26
15 3 2 2 9
67 6 16 5 46
22 4 2 7 21
26 3 2 5 27
39 7 1 10 23
20 6 1 1 21
52 14 10 2 34
7 1 3 2 9
30 5 3 5 18
67 5 3 4 59
53 9 7 17 35
38 1 9 2 34
42 5 5 3 37
56 2 11 3 51
39 9 9 11 19
54 15 1 14 32
63 5 9 2 59
45 9 4 8 26
21 4 3 8 18
11 3 2 1 20
18 2 1 3 21
14 3 2 4 8
11 3 6 5 12
29 6 4 1 32
40 6 6 2 28
33 6 7 4 22
19 1 7 1 19
24 6 5 5 15
33 5 5 3 22
23 6 7 2 18
43 1 2 8 34
51 8 12 8 28
44 10 9 8 28
49 13 10 9 23
54 5 11 4 43
73 4 13 14 44
28 7 9 9 12
52 13 5 12 27
42 2 4 2 35
56 12 13 10 29
39 8 8 9 20
22 1 1 3 18
50 12 9 14 24
55 7 7 2 44
68 1 3 17 53
14 3 5 6 14
54 10 8 4 35
20 6 6 3 10
35 5 5 3 31
8 2 2 3 8
20 1 3 4 13
61 2 11 11 39
31 5 2 3 30
32 5 4 3 22
30 1 2 3 27
33 5 8 4 30
20 3 2 7 19
29 5 2 6 27
54 8 12 3 32
33 3 2 2 30
37 2 9 4 23
36 9 5 4 29
43 3 3 3 37
17 4 3 1 11
18 3 1 5 12
52 14 7 6 40
5 3 3 2 7
71 10 1 8 55
54 14 14 9 22
12 5 5 4 12
19 2 4 7 16
25 4 7 7 10
24 2 5 6 13
23 6 4 2 13
32 8 6 2 17
64 8 3 9 47
37 5 1 3 30
55 5 9 5 41
39 5 4 7 32
29 1 5 1 24
55 3 16 9 38
16 5 6 4 12
14 2 6 3 14
6 5 2 5 9
19 2 2 1 24
16 3 3 2 10
50 2 7 9 37
51 4 10 16 36
27 7 7 4 13
67 12 15 5 42
28 3 7 2 22
49 7 3 6 40
22 4 1 3 16
24 1 5 6 17
71 11 18 4 42
50 5 2 6 42
51 8 12 5 29
64 14 2 10 39
20 3 4 1 24
36 2 10 5 34
22 5 5 4 21
26 7 6 8 18
37 6 6 6 25
14 1 3 5 11
45 1 7 5 40
4 1 1 2 14
55 2 12 7 42
23 5 1 4 23
41 4 11 8 28
44 8 4 9 28
30 2 1 3 29
20 1 7 6 14
21 7 2 6 20
66 3 16 9 45
25 2 6 2 16
46 2 10 2 47
50 12 6 9 25
4 2 3 3 8
17 5 2 5 13
34 3 8 4 27
20 2 4 3 18
35 2 1 1 36
46 12 4 7 38
48 8 12 1 28
26 9 5 10 16
36 8 4 2 25
64 13 2 14 37
64 12 4 2 50
65 5 5 11 47
27 9 2 4 26
47 7 5 2 39
54 11 15 1 40
26 2 5 7 16
24 5 7 8 13
28 4 3 3 31
58 1 13 5 50
19 7 7 8 10
40 5 5 7 31
59 13 5 2 49
23 6 1 5 15
65 16 4 5 44
60 5 6 5 51
54 12 9 13 28
31 7 6 1 18
46 4 7 9 35
31 1 5 6 28
35 8 9 3 17
38 5 3 10 22
30 1 5 10 26
66 1 2 16 48
53 3 1 15 42
13 2 4 1 10
61 17 3 6 49
47 9 6 12 25
48 14 13 10 21
38 6 7 7 27
33 1 8 6 20
66 8 13 6 43
42 14 9 3 31
13 4 6 5 11
60 11 4 6 42
20 4 6 3 12
57 6 8 6 44
22 6 2 1 27
16 1 6 1 23
31 11 6 7 22
65 12 12 7 42
35 7 9 4 16
12 2 2 4 9
40 2 5 1 39
62 3 6 8 50
34 9 5 9 23
44 3 3 2 42
44 7 10 10 19
22 2 6 3 13
15 1 2 1 12
49 9 9 7 35
11 3 1 4 8
58 6 13 15 27
13 2 1 1 14
6 1 2 4 11
14 2 4 4 11
34 2 2 3 41
15 5 1 4 16
63 11 7 4 49
11 2 3 4 14
8 1 4 2 16
41 10 3 7 27
71 4 7 12 52
2 2 3 2 9
66 15 8 16 33
16 5 1 1 13
23 6 1 6 21
34 8 2 7 19
68 11 9 4 47
46 11 7 13 26
