WOJ;POW;GMI;NAZWA;STAN_NA
14;14;2;Aleksandrów;01.01.2023
14;14;2;Augustówek;01.01.2023
14;14;2;Brzozówka;01.01.2023
14;14;2;Cząstków Mazowiecki;01.01.2023
14;14;2;Cząstków Polski;01.01.2023
14;14;2;Cybulice;01.01.2023
14;14;2;Cybulice Duże;01.01.2023
14;14;2;Cybulice Małe;01.01.2023
14;14;2;Czeczotki;01.01.2023
14;14;2;Czosnów;01.01.2023
14;14;2;Dąbrówka;01.01.2023
14;14;2;Dębina;01.01.2023
14;14;2;Dobrzyń;01.01.2023
14;14;2;Izabelin-Dziekanówek;01.01.2023
14;14;2;Janów-Mikołajówka;01.01.2023
14;14;2;Janówek;01.01.2023
14;14;2;Jesionka;01.01.2023
14;14;2;Kaliszki;01.01.2023
14;14;2;Kazuń-Bielany;01.01.2023
14;14;2;Kazuń Polski;01.01.2023
14;14;2;Kiścinne;01.01.2023
14;14;2;Łomna;01.01.2023
14;14;2;Łomna-Las;01.01.2023
14;14;2;Łosia Wólka;01.01.2023
14;14;2;Małocice;01.01.2023
14;14;2;Kazuń Nowy;01.01.2023
14;14;2;Palmiry;01.01.2023
14;14;2;Pieńków;01.01.2023
14;14;2;Sady;01.01.2023
14;14;2;Sowia Wola;01.01.2023
14;14;2;Sowia Wola Folwarczna;01.01.2023
14;14;2;Truskawka;01.01.2023
14;14;2;Wiersze;01.01.2023
14;14;2;Wólka Czosnowska;01.01.2023
14;14;2;Wrzosówka;01.01.2023
14;18;1;Aleksandrów;01.01.2023
14;18;1;Baniocha;01.01.2023
14;18;1;Wilczynek;01.01.2023
14;18;1;Brześce;01.01.2023
14;18;1;Osiedle Brześce;01.01.2023
14;18;1;Brzumin;01.01.2023
14;18;1;Kępa Radwankowska;01.01.2023
14;18;1;Buczynów;01.01.2023
14;18;1;Cendrowice;01.01.2023
14;18;1;Coniew;01.01.2023
14;18;1;Naddawki;01.01.2023
14;18;1;Szpruch Górny;01.01.2023
14;18;1;Czachówek;01.01.2023
14;18;1;Julianów;01.01.2023
14;18;1;Kiełbaska;01.01.2023
14;18;1;Czaplin;01.01.2023
14;18;1;Czaplinek;01.01.2023
14;18;1;Zalesie;01.01.2023
14;18;1;Czarny Las;01.01.2023
14;18;1;Czersk;01.01.2023
14;18;1;Tatary;01.01.2023
14;18;1;Dębówka;01.01.2023
14;18;1;Dobiesz;01.01.2023
14;18;1;Dobiesz-Parcela;01.01.2023
14;18;1;Wola Dobieska;01.01.2023
14;18;1;Karolina;01.01.2023
14;18;1;Walewice;01.01.2023
14;18;1;Kąty;01.01.2023
14;18;1;Królewski Las;01.01.2023
14;18;1;Krzaki Czaplinkowskie;01.01.2023
14;18;1;Kalwaryjka;01.01.2023
14;18;1;Krzymów;01.01.2023
14;18;1;Linin;01.01.2023
14;18;1;Lininek;01.01.2023
14;18;1;Łubna;01.01.2023
14;18;1;Mikówiec;01.01.2023
14;18;1;Moczydłów;01.01.2023
14;18;1;Budki Moczydłowskie;01.01.2023
14;18;1;Obręb;01.01.2023
14;18;1;Ostrówik;01.01.2023
14;18;1;Borki;01.01.2023
14;18;1;Pęcław;01.01.2023
14;18;1;Podgóra;01.01.2023
14;18;1;Podłęcze;01.01.2023
14;18;1;Podłęcze Brzeskie;01.01.2023
14;18;1;Podłęcze Wólczyńskie;01.01.2023
14;18;1;Podosowa;01.01.2023
14;18;1;Potycz;01.01.2023
14;18;1;Sierzchów;01.01.2023
14;18;1;Ługówka;01.01.2023
14;18;1;Sobików;01.01.2023
14;18;1;Kolonia Sobików;01.01.2023
14;18;1;Solec;01.01.2023
14;18;1;Szymanów;01.01.2023
14;18;1;Tomice;01.01.2023
14;18;1;Wincentów;01.01.2023
14;18;1;Wojciechowice;01.01.2023
14;18;1;Wólka Dworska;01.01.2023
14;18;1;Wólka Załęska;01.01.2023
14;5;4;Adamowizna;01.01.2023
14;5;4;Chełmonie;01.01.2023
14;5;4;Stare;01.01.2023
14;5;4;Zapole;01.01.2023
14;5;4;Adamów;01.01.2023
14;5;4;Chlebnia;01.01.2023
14;5;4;Dąbrówka;01.01.2023
14;5;4;Chrzanów Duży;01.01.2023
14;5;4;Chrzanów Mały;01.01.2023
14;5;4;Czarny Las;01.01.2023
14;5;4;Budki Kozerkowskie;01.01.2023
14;5;4;Izdebno Kościelne;01.01.2023
14;5;4;Janinów;01.01.2023
14;5;4;Kady;01.01.2023
14;5;4;Kałęczyn;01.01.2023
14;5;4;Kozerki;01.01.2023
14;5;4;Podchyliczki;01.01.2023
14;5;4;Kozery;01.01.2023
14;5;4;Kozery-Folwark;01.01.2023
14;5;4;Kraśnicza Wola;01.01.2023
14;5;4;Książenice;01.01.2023
14;5;4;Urszulin;01.01.2023
14;5;4;Makówka;01.01.2023
14;5;4;Marynin;01.01.2023
14;5;4;Mościska;01.01.2023
14;5;4;Natolin;01.01.2023
14;5;4;Izdebno Nowe;01.01.2023
14;5;4;Izdebno Małe;01.01.2023
14;5;4;Żdżary;01.01.2023
14;5;4;Kłudno Nowe;01.01.2023
14;5;4;Kozery Nowe;01.01.2023
14;5;4;Odrano-Wola;01.01.2023
14;5;4;Putka;01.01.2023
14;5;4;Opypy;01.01.2023
14;5;4;Radonie;01.01.2023
14;5;4;Mieczysławów;01.01.2023
14;5;4;Zajączkowo;01.01.2023
14;5;4;Kłudno Stare;01.01.2023
14;5;4;Szczęsne;01.01.2023
14;5;4;Tłuste;01.01.2023
14;5;4;Kłudzienko;01.01.2023
14;5;4;Wężyk;01.01.2023
14;5;4;Chawłowo;01.01.2023
14;5;4;Władków;01.01.2023
14;5;4;Wandzin;01.01.2023
14;5;4;Wólka Grodziska;01.01.2023
14;5;4;Zabłotnia;01.01.2023
14;5;4;Żuków;01.01.2023
14;5;4;Lipy;01.01.2023
14;12;7;Brzeziny;01.01.2023
14;12;7;Stefanów;01.01.2023
14;12;7;Budziska;01.01.2023
14;12;7;Kamionek;01.01.2023
14;12;7;Chobot;01.01.2023
14;12;7;Kolonia Chobot;01.01.2023
14;12;7;Cisie;01.01.2023
14;12;7;Nowiny;01.01.2023
14;12;7;Desno;01.01.2023
14;12;7;Długa Kościelna;01.01.2023
14;12;7;Długa Szlachecka;01.01.2023
14;12;7;Grabina;01.01.2023
14;12;7;Królewskie Brzeziny;01.01.2023
14;12;7;Halinów;01.01.2023
14;12;7;Zagaje;01.01.2023
14;12;7;Hipolitów;01.01.2023
14;12;7;Józefin;01.01.2023
14;12;7;Kazimierów;01.01.2023
14;12;7;Zastawie;01.01.2023
14;12;7;Krzewina;01.01.2023
14;12;7;Gęśle;01.01.2023
14;12;7;Michałów;01.01.2023
14;12;7;Mrowiska;01.01.2023
14;12;7;Mrowiska Duże;01.01.2023
14;12;7;Mrowiska Małe;01.01.2023
14;12;7;Nowy Konik;01.01.2023
14;12;7;Okuniew;01.01.2023
14;12;7;Stary Konik;01.01.2023
14;12;7;Wielgolas Brzeziński;01.01.2023
14;12;7;Nowiny za Koleją;01.01.2023
14;12;7;Wielgolas Duchnowski;01.01.2023
14;12;7;Zagórze;01.01.2023
14;12;7;Żwirówka;01.01.2023
14;8;2;Boża Wola;01.01.2023
14;8;2;Chotomów;01.01.2023
14;8;2;Chotomów;01.01.2023
14;8;2;Dąbrowa Chotomowska;01.01.2023
14;8;2;Jabłonna;01.01.2023
14;8;2;Bagno;01.01.2023
14;8;2;Bukowiec;01.01.2023
14;8;2;Janówek Drugi;01.01.2023
14;8;2;Rajszew;01.01.2023
14;8;2;Rajszew;01.01.2023
14;8;2;Skierdy;01.01.2023
14;8;2;Skierdy;01.01.2023
14;8;2;Suchocin;01.01.2023
14;8;2;Trzciany;01.01.2023
14;8;2;Wólka Górska;01.01.2023
14;32;3;Bieliny;01.01.2023
14;32;3;Granica;01.01.2023
14;32;3;Bromierzyk;01.01.2023
14;32;3;Karolinów;01.01.2023
14;32;3;Łazy Leśne;01.01.2023
14;32;3;Grabnik;01.01.2023
14;32;3;Józefów;01.01.2023
14;32;3;Koszówka;01.01.2023
14;32;3;Kampinos;01.01.2023
14;32;3;Kampinos A;01.01.2023
14;32;3;Kirsztajnów;01.01.2023
14;32;3;Budki Żelazowskie;01.01.2023
14;32;3;Pindal;01.01.2023
14;32;3;Komorów;01.01.2023
14;32;3;Kwiatkówek;01.01.2023
14;32;3;Łazy;01.01.2023
14;32;3;Pasikonie;01.01.2023
14;32;3;Podkampinos;01.01.2023
14;32;3;Krubice;01.01.2023
14;32;3;Prusy;01.01.2023
14;32;3;Skarbikowo;01.01.2023
14;32;3;Stare Gnatowice;01.01.2023
14;32;3;Strojec;01.01.2023
14;32;3;Rzęszyce;01.01.2023
14;32;3;Strzyżew;01.01.2023
14;32;3;Szczytno;01.01.2023
14;32;3;Wiejca;01.01.2023
14;32;3;Wola Pasikońska;01.01.2023
14;32;3;Zawady;01.01.2023
14;17;4;Brzezinka;01.01.2023
14;17;4;Całowanie;01.01.2023
14;17;4;Górki;01.01.2023
14;17;4;Pękatka;01.01.2023
14;17;4;Glinki;01.01.2023
14;17;4;Julianów;01.01.2023
14;17;4;Kępa Gliniecka;01.01.2023
14;17;4;Kępa Pijarska;01.01.2023
14;17;4;Pijary;01.01.2023
14;17;4;Janów;01.01.2023
14;17;4;Hubertówka;01.01.2023
14;17;4;Kępa Nadbrzeska;01.01.2023
14;17;4;Władysławów;01.01.2023
14;17;4;Kosumce;01.01.2023
14;17;4;Łukówiec;01.01.2023
14;17;4;Nadbrzeż;01.01.2023
14;17;4;Ostrówek;01.01.2023
14;17;4;Ostrówiec;01.01.2023
14;17;4;Rosłonki;01.01.2023
14;17;4;Otwock Mały;01.01.2023
14;17;4;Otwock Wielki;01.01.2023
14;17;4;Osiny;01.01.2023
14;17;4;Rokola;01.01.2023
14;17;4;Piotrowice;01.01.2023
14;17;4;Sobiekursk;01.01.2023
14;17;4;Wygoda;01.01.2023
14;18;2;Bielawa;01.01.2023
14;18;2;Borowina;01.01.2023
14;18;2;Cieciszew;01.01.2023
14;18;2;Goździe;01.01.2023
14;18;2;Ciszyca;01.01.2023
14;18;2;Kliczyn;01.01.2023
14;18;2;Koło;01.01.2023
14;18;2;Czarnów;01.01.2023
14;18;2;Nowy Czarnów;01.01.2023
14;18;2;Czernidła;01.01.2023
14;18;2;Dębówka;01.01.2023
14;18;2;Gassy;01.01.2023
14;18;2;Gassy-Kopyty;01.01.2023
14;18;2;Habdzin;01.01.2023
14;18;2;Kawęczyn;01.01.2023
14;18;2;Wierzbówka;01.01.2023
14;18;2;Kawęczynek;01.01.2023
14;18;2;Kępa Oborska;01.01.2023
14;18;2;Kępa Okrzewska;01.01.2023
14;18;2;Kępa Falenicka;01.01.2023
14;18;2;Kierszek;01.01.2023
14;18;2;Kierszek pod Lasem;01.01.2023
14;18;2;Łęg;01.01.2023
14;18;2;Dębina;01.01.2023
14;18;2;Łyczyn;01.01.2023
14;18;2;Obory;01.01.2023
14;18;2;Imielin;01.01.2023
14;18;2;Obórki;01.01.2023
14;18;2;Habdzinek;01.01.2023
14;18;2;Okrzeszyn;01.01.2023
14;18;2;Opacz;01.01.2023
14;18;2;Borek;01.01.2023
14;18;2;Parcela-Obory;01.01.2023
14;18;2;Piaski;01.01.2023
14;18;2;Słomczyn;01.01.2023
14;18;2;Turowice;01.01.2023
14;14;3;Cisowe;01.01.2023
14;14;3;Gać;01.01.2023
14;14;3;Głusk;01.01.2023
14;14;3;Gniewniewice Folwarczne;01.01.2023
14;14;3;Górki;01.01.2023
14;14;3;Krubiczew;01.01.2023
14;14;3;Leoncin;01.01.2023
14;14;3;Michałów;01.01.2023
14;14;3;Nowa Dąbrowa;01.01.2023
14;14;3;Nowa Mała Wieś;01.01.2023
14;14;3;Mała Wieś przy Drodze;01.01.2023
14;14;3;Nowe Budy;01.01.2023
14;14;3;Nowe Gniewniewice;01.01.2023
14;14;3;Nowe Grochale;01.01.2023
14;14;3;Nowe Polesie;01.01.2023
14;14;3;Nowiny;01.01.2023
14;14;3;Nowy Secymin;01.01.2023
14;14;3;Nowy Wilków;01.01.2023
14;14;3;Ośniki;01.01.2023
14;14;3;Rybitew;01.01.2023
14;14;3;Secymin Polski;01.01.2023
14;14;3;Secyminek;01.01.2023
14;14;3;Stanisławów;01.01.2023
14;14;3;Stara Dąbrowa;01.01.2023
14;14;3;Stare Gniewniewice;01.01.2023
14;14;3;Stare Grochale;01.01.2023
14;14;3;Stare Polesie;01.01.2023
14;14;3;Teofile;01.01.2023
14;14;3;Wilków Polski;01.01.2023
14;14;3;Wilków nad Wisłą;01.01.2023
14;14;3;Wincentówek;01.01.2023
14;14;3;Zamość;01.01.2023
14;32;4;Czarnów;01.01.2023
14;32;4;Towarzystwo Czarnów;01.01.2023
14;32;4;Feliksów;01.01.2023
14;32;4;Gawartowa Wola;01.01.2023
14;32;4;Grabina;01.01.2023
14;32;4;Grądki;01.01.2023
14;32;4;Grądy;01.01.2023
14;32;4;Julinek;01.01.2023
14;32;4;Kępiaste;01.01.2023
14;32;4;Korfowe;01.01.2023
14;32;4;Leszno;01.01.2023
14;32;4;Leszno;01.01.2023
14;32;4;Białuty;01.01.2023
14;32;4;Ławy;01.01.2023
14;32;4;Łubiec;01.01.2023
14;32;4;Marianów;01.01.2023
14;32;4;Plewniak;01.01.2023
14;32;4;Podrochale;01.01.2023
14;32;4;Powązki;01.01.2023
14;32;4;Roztoka;01.01.2023
14;32;4;Stelmachowo;01.01.2023
14;32;4;Szadkówek;01.01.2023
14;32;4;Szymanówek;01.01.2023
14;32;4;Trzciniec;01.01.2023
14;32;4;Walentów;01.01.2023
14;32;4;Wąsy-Kolonia;01.01.2023
14;32;4;Wąsy-Wieś;01.01.2023
14;32;4;Wilkowa Wieś;01.01.2023
14;32;4;Wiktorów;01.01.2023
14;32;4;Wilków;01.01.2023
14;32;4;Wólka;01.01.2023
14;32;4;Wyględy;01.01.2023
14;32;4;Zaborów;01.01.2023
14;32;4;Zaborówek;01.01.2023
14;32;4;Janówek;01.01.2023
14;18;3;Garbatka;01.01.2023
14;18;3;Jastrzębiec;01.01.2023
14;18;3;Jabłonowo;01.01.2023
14;18;3;Kolonia Warszawska;01.01.2023
14;18;3;Janczewice;01.01.2023
14;18;3;Jazgarzewszczyzna;01.01.2023
14;18;3;Kosów;01.01.2023
14;18;3;Lesznowola;01.01.2023
14;18;3;Kolonia Lesznowola;01.01.2023
14;18;3;Lesznowola-Pole;01.01.2023
14;18;3;Łazy;01.01.2023
14;18;3;Derdy;01.01.2023
14;18;3;Łoziska;01.01.2023
14;18;3;Magdalenka;01.01.2023
14;18;3;Borowina;01.01.2023
14;18;3;Marysin;01.01.2023
14;18;3;Mroków;01.01.2023
14;18;3;Kolonia Mrokowska;01.01.2023
14;18;3;Mysiadło;01.01.2023
14;18;3;Nowa Iwiczna;01.01.2023
14;18;3;Nowa Wola;01.01.2023
14;18;3;Podolszyn;01.01.2023
14;18;3;Stachowo;01.01.2023
14;18;3;Stara Iwiczna;01.01.2023
14;18;3;Stefanowo;01.01.2023
14;18;3;Warszawianka;01.01.2023
14;18;3;Wilcza Góra;01.01.2023
14;18;3;Władysławów;01.01.2023
14;18;3;Wola Mrokowska;01.01.2023
14;18;3;Wólka Kosowska;01.01.2023
14;18;3;Zamienie;01.01.2023
14;18;3;Zgorzała;01.01.2023
14;32;5;Dziekanów Leśny;01.01.2023
14;32;5;Dziekanów Polski;01.01.2023
14;32;5;Kępa Kiełpińska;01.01.2023
14;32;5;Kiełpin;01.01.2023
14;32;5;Kiełpin Poduchowny;01.01.2023
14;32;5;Łomianki Dolne;01.01.2023
14;32;5;Dziekanów Nowy;01.01.2023
14;32;5;Sadowa;01.01.2023
14;21;4;Granica;01.01.2023
14;21;4;Komorów;01.01.2023
14;21;4;Michałowice;01.01.2023
14;21;4;Michałowice-Wieś;01.01.2023
14;21;4;Nowa Wieś;01.01.2023
14;21;4;Helenów;01.01.2023
14;21;4;Opacz-Kolonia;01.01.2023
14;21;4;Opacz Mała;01.01.2023
14;21;4;Pęcice;01.01.2023
14;21;4;Pęcice Małe;01.01.2023
14;21;4;Reguły;01.01.2023
14;21;4;Sokołów;01.01.2023
14;21;4;Suchy Las;01.01.2023
14;21;5;Kajetany;01.01.2023
14;21;5;Krakowiany;01.01.2023
14;21;5;Młochów;01.01.2023
14;21;5;Bieliny;01.01.2023
14;21;5;Nadarzyn;01.01.2023
14;21;5;Stasinek;01.01.2023
14;21;5;Parole;01.01.2023
14;21;5;Rozalin;01.01.2023
14;21;5;Rusiec;01.01.2023
14;21;5;Olesin;01.01.2023
14;21;5;Zawisin;01.01.2023
14;21;5;Żabieniec;01.01.2023
14;21;5;Stara Wieś;01.01.2023
14;21;5;Strzeniówka;01.01.2023
14;21;5;Stefanka;01.01.2023
14;21;5;Szamoty;01.01.2023
14;21;5;Urzut;01.01.2023
14;21;5;Kostowiec;01.01.2023
14;21;5;Walendów;01.01.2023
14;21;5;Wola Krakowiańska;01.01.2023
14;21;5;Pławy;01.01.2023
14;21;5;Wolica;01.01.2023
14;21;5;Paszków;01.01.2023
14;8;3;Aleksandrów;01.01.2023
14;8;3;Beniaminów;01.01.2023
14;8;3;Białobrzegi;01.01.2023
14;8;3;Izabelin;01.01.2023
14;8;3;Józefów;01.01.2023
14;8;3;Kąty Węgierskie;01.01.2023
14;8;3;Kąty Węgierskie;01.01.2023
14;8;3;Michałów-Grabina;01.01.2023
14;8;5;Michałów-Reginów;01.01.2023
14;8;3;Nieporęt;01.01.2023
14;8;3;Rembelszczyzna;01.01.2023
14;8;3;Rynia;01.01.2023
14;8;3;Stanisławów Drugi;01.01.2023
14;8;3;Stanisławów Pierwszy;01.01.2023
14;8;3;Wola Aleksandra;01.01.2023
14;8;3;Wólka Radzymińska;01.01.2023
14;8;3;Dąbkowizna;01.01.2023
14;8;3;Wólka Radzymińska;01.01.2023
14;8;3;Zegrze Południowe;01.01.2023
14;32;6;Bronisze;01.01.2023
14;32;6;Domaniewek Pierwszy;01.01.2023
14;32;6;Duchnice;01.01.2023
14;32;6;Gołaszew;01.01.2023
14;32;6;Jawczyce;01.01.2023
14;32;6;Józefów;01.01.2023
14;32;6;Wolica;01.01.2023
14;32;6;Kaputy;01.01.2023
14;32;6;Kręczki;01.01.2023
14;32;6;Strzykuły;01.01.2023
14;32;6;Konotopa;01.01.2023
14;32;6;Koprki;01.01.2023
14;32;6;Macierzysz;01.01.2023
14;32;6;Nowa Wieś;01.01.2023
14;32;6;Stara Wieś;01.01.2023
14;32;6;Szeligi;01.01.2023
14;32;6;Michałówek;01.01.2023
14;32;6;Mory;01.01.2023
14;32;6;Myszczyn;01.01.2023
14;32;6;Ołtarzew;01.01.2023
14;32;6;Orły;01.01.2023
14;32;6;Ożarów;01.01.2023
14;32;6;Pilaszków;01.01.2023
14;32;6;Piotrkówek Mały;01.01.2023
14;32;6;Piotrkówek Duży;01.01.2023
14;32;6;Płochocin;01.01.2023
14;32;6;Płochocin-Osiedle;01.01.2023
14;32;6;Pogroszew;01.01.2023
14;32;6;Pogroszew-Kolonia;01.01.2023
14;32;6;Święcice;01.01.2023
14;32;6;Umiastów;01.01.2023
14;32;6;Wieruchów;01.01.2023
14;32;6;Wolskie;01.01.2023
14;18;4;Antoninów;01.01.2023
14;18;4;Kuleszówka;01.01.2023
14;18;4;Baszkówka;01.01.2023
14;18;4;Bąkówka;01.01.2023
14;18;4;Bobrowiec;01.01.2023
14;18;4;Bogatki;01.01.2023
14;18;4;Leśniczówka na Zielonym;01.01.2023
14;18;4;Chojnów;01.01.2023
14;18;4;Chylice;01.01.2023
14;18;4;Chylice-Pólko;01.01.2023
14;18;4;Chyliczki;01.01.2023
14;18;4;Głosków;01.01.2023
14;18;4;Głosków-Zielone;01.01.2023
14;18;4;Głosków-Letnisko;01.01.2023
14;18;4;Gołków;01.01.2023
14;18;4;Gołków-Cegielnia;01.01.2023
14;18;4;Grochowa;01.01.2023
14;18;4;Henryków-Urocze;01.01.2023
14;18;4;Jastrzębie;01.01.2023
14;18;4;Jazgarzew;01.01.2023
14;18;4;Jesówka;01.01.2023
14;18;4;Józefosław;01.01.2023
14;18;4;Julianów;01.01.2023
14;18;4;Kamionka;01.01.2023
14;18;4;Łbiska;01.01.2023
14;18;4;Mieszkowo;01.01.2023
14;18;4;Nowinki;01.01.2023
14;18;4;Orzeszyn;01.01.2023
14;18;4;Pęchery;01.01.2023
14;18;4;Pilawa;01.01.2023
14;18;4;Pilawa;01.01.2023
14;18;4;Robercin;01.01.2023
14;18;4;Runów;01.01.2023
14;18;4;Runów;01.01.2023
14;18;4;Siedliska;01.01.2023
14;18;4;Szczaki;01.01.2023
14;18;4;Wola Gołkowska;01.01.2023
14;18;4;Wólka Kozodawska;01.01.2023
14;18;4;Zalesie-Dwór;01.01.2023
14;18;4;Wólka Pęcherska;01.01.2023
14;18;4;Wólka Pracka;01.01.2023
14;18;4;Karolin;01.01.2023
14;18;4;Zalesie Górne;01.01.2023
14;18;4;Domanka;01.01.2023
14;18;4;Wrzosy;01.01.2023
14;18;4;Wyżyny;01.01.2023
14;18;4;Złotokłos;01.01.2023
14;18;4;Żabieniec;01.01.2023
14;18;4;Stefanów;01.01.2023
14;14;5;Błędowo;01.01.2023
14;14;5;Błędówko;01.01.2023
14;14;5;Brody;01.01.2023
14;14;5;Brody-Parcele;01.01.2023
14;14;5;Bronisławka;01.01.2023
14;14;5;Cegielnia-Kosewo;01.01.2023
14;14;5;Czarnowo;01.01.2023
14;14;5;Falbogi Borowe;01.01.2023
14;14;5;Goławice Drugie;01.01.2023
14;14;5;Goławice Pierwsze;01.01.2023
14;14;5;Kikoły;01.01.2023
14;14;5;Kosewko;01.01.2023
14;14;5;Kosewo;01.01.2023
14;14;5;Nowe Orzechowo;01.01.2023
14;14;5;Nowy Modlin;01.01.2023
14;14;5;Pomiechowo;01.01.2023
14;14;5;Pomiechówek;01.01.2023
14;14;5;Pomocnia;01.01.2023
14;14;5;Stanisławowo;01.01.2023
14;14;5;Stare Orzechowo;01.01.2023
14;14;5;Szczypiorno;01.01.2023
14;14;5;Śniadówko;01.01.2023
14;14;5;Wola Błędowska;01.01.2023
14;14;5;Wójtostwo;01.01.2023
14;14;5;Wólka Kikolska;01.01.2023
14;14;5;Kolonia;01.01.2023
14;14;5;Wymysły;01.01.2023
14;14;5;Zapiecki;01.01.2023
14;18;5;Biały Ług;01.01.2023
14;18;5;Wysoczyn;01.01.2023
14;18;5;Bronisławów;01.01.2023
14;18;5;Chosna;01.01.2023
14;18;5;Dobrzenica;01.01.2023
14;18;5;Rybno;01.01.2023
14;18;5;Słonawka;01.01.2023
14;18;5;Błonie;01.01.2023
14;18;5;Gabryelin;01.01.2023
14;18;5;Michałów;01.01.2023
14;18;5;Czachówek Południowy;01.01.2023
14;18;5;Jaroszowa Wola;01.01.2023
14;18;5;Kaczorówek;01.01.2023
14;18;5;Jeziórko;01.01.2023
14;18;5;Ustanówek;01.01.2023
14;18;5;Kamionka;01.01.2023
14;18;5;Kędzierówka;01.01.2023
14;18;5;Aleksandrów;01.01.2023
14;18;5;Edwardów;01.01.2023
14;18;5;Kolonia Gościeńczyce;01.01.2023
14;18;5;Żelisławów;01.01.2023
14;18;5;Koryta;01.01.2023
14;18;5;Krępa;01.01.2023
14;18;5;Kolonia Krępa;01.01.2023
14;18;5;Krupia Wólka;01.01.2023
