Papuga_nr start1 stop1 start2 stop2
139 80 129 170 944
140 50 54 200 444
141 30 91 408 966
142 45 95 252 999
143 72 108 364 450
144 35 255 350 660
145 34 78 318 678
146 97 115 326 418
147 51 206 469 939
148 7 84 449 778
149 94 107 144 239
150 96 209 280 608
151 49 58 349 463
152 85 244 401 972
153 75 200 461 873
154 10 274 442 507
155 34 287 315 370
156 9 114 266 287
157 91 228 411 900
158 62 296 491 957
159 10 237 401 906
160 76 159 271 436
161 71 249 449 814
162 15 115 407 904
163 7 299 470 974
164 6 65 102 508
165 8 148 336 696
166 97 106 241 405
167 78 261 370 548
168 44 127 185 696
169 36 207 263 316
170 87 98 493 671
171 44 64 144 907
172 23 252 458 780
173 9 253 303 434
174 97 195 245 985
175 17 290 343 706
176 39 166 167 763
177 96 234 477 733
178 23 300 326 726
179 100 255 313 755
180 25 99 310 959
181 66 111 211 966
182 97 291 496 820
183 90 277 427 832
184 31 275 284 705
185 42 248 251 285
186 20 189 489 707
187 46 80 488 934
188 82 224 283 776
189 76 90 260 911
190 95 202 444 893
191 15 35 232 548
192 46 53 180 285
193 7 108 292 372
194 22 80 495 894
195 45 97 343 368
196 33 272 445 741
197 99 241 333 454
198 20 88 419 644
199 23 119 160 436
200 99 123 193 431
201 99 237 260 881
202 96 205 409 1000
203 30 97 430 608
204 79 288 418 703
205 76 225 407 594
206 76 260 319 667
207 40 291 426 429
208 33 204 332 642
209 55 181 464 636
210 4 28 136 396
211 4 70 283 763
212 47 273 287 580
213 88 273 283 509
214 40 188 317 950
215 10 201 380 593
216 99 103 215 736
217 55 144 242 466
218 10 208 213 863
219 85 176 311 974
220 46 104 134 395
221 91 223 379 871
222 82 249 463 986
223 53 165 394 873
224 21 61 485 952
225 12 204 301 881
226 25 122 327 761
227 28 148 421 659
228 38 129 390 571
229 28 109 186 410
230 54 271 429 833
231 13 200 375 720
232 59 127 281 434
233 52 191 437 742
234 49 96 253 455
235 55 242 430 471
236 38 283 408 837
237 29 127 324 671
238 83 87 463 728
239 65 250 269 984
240 42 183 494 573
241 30 133 242 766
242 9 95 411 505
243 46 129 323 459
244 1 18 258 562
245 59 207 247 761
246 43 135 458 633
247 63 167 427 749
248 48 121 452 668
249 50 203 500 582
250 65 271 307 585
251 95 279 445 530
252 52 146 265 381
253 64 157 206 319
254 43 149 486 971
255 75 277 421 988
256 4 216 289 859
257 21 128 407 600
258 66 108 258 909
259 41 267 374 937
260 57 65 129 935
261 31 98 180 712
262 46 285 319 890
263 25 159 332 413
264 63 92 389 936
265 89 119 440 689
266 95 138 351 774
267 72 160 271 315
268 45 169 176 410
269 88 162 356 536
270 66 139 461 989
271 11 128 185 199
272 62 89 102 173
273 27 222 431 547
274 96 121 123 494
275 56 81 274 906
276 44 190 365 696
277 71 234 404 771
278 86 163 166 180
279 38 284 376 402
280 76 237 482 579
281 5 242 485 844
282 51 241 319 608
283 46 193 465 566
284 89 226 257 426
285 25 93 223 345
286 25 139 379 797
287 40 235 340 582
288 59 156 278 685
289 32 56 446 978
290 51 237 255 690
291 44 280 427 902
292 35 75 197 970
293 15 251 439 884
294 82 154 180 686
295 88 208 480 513
296 62 244 381 889
297 24 82 312 552
298 86 138 148 251
299 12 212 334 703
300 10 265 324 785
301 68 117 165 452
302 25 150 213 283
303 16 89 317 906
304 86 246 290 322
305 87 219 361 380
306 44 212 345 680
307 33 234 299 536
308 83 270 442 740
309 31 264 382 453
310 47 85 471 827
311 3 55 474 719
312 46 260 438 792
313 77 231 305 753
314 28 166 404 819
315 6 158 499 712
316 42 267 307 504
317 18 32 282 548
318 95 106 211 547
319 21 32 161 760
320 88 227 397 787
321 17 205 377 428
322 5 214 305 594
323 31 300 304 871
324 16 254 360 726
325 36 50 53 707
326 41 134 267 288
327 21 208 400 524
328 75 248 265 308
329 97 128 296 653
330 83 285 439 702
331 28 33 342 796
332 34 57 412 427
333 9 25 157 367
334 14 254 397 427
335 82 95 270 283
336 81 264 403 490
337 91 166 351 543
338 58 117 476 759
339 11 16 35 214
340 59 297 353 700
341 51 242 330 779
342 52 189 258 508
343 5 69 298 957
344 49 206 370 884
345 70 167 390 941
346 11 25 78 119
347 4 208 344 481
348 7 273 395 732
349 29 59 430 450
350 48 142 279 429
351 69 238 280 785
352 23 89 280 423
353 84 140 224 351
354 16 119 252 488
355 34 98 471 853
356 20 51 111 429
357 13 112 260 282
358 77 290 459 982
359 20 151 303 959
360 38 216 229 257
361 48 211 251 452
362 71 127 339 964
363 2 66 298 885
364 1 85 470 747
365 3 103 225 324
366 71 131 368 398
367 36 108 497 805
368 41 286 362 381
369 65 112 204 623
370 55 294 499 658
371 35 181 484 674
372 52 231 317 879
373 1 276 479 580
374 36 229 473 510
375 31 78 166 355
376 93 96 260 294
377 71 138 428 647
378 85 123 302 687
379 34 159 245 344
380 10 39 173 316
381 35 44 70 781
382 64 180 375 719
383 59 105 170 415
384 37 115 466 791
385 66 126 153 184
386 63 115 179 775
387 80 272 483 805
388 12 277 449 822
389 87 151 174 300
390 31 284 355 1000
391 14 16 295 360
392 85 239 426 994
393 11 17 245 501
394 63 281 314 561
395 38 168 358 595
396 94 247 349 545
397 53 273 388 900
398 8 213 258 340
399 54 267 433 541
400 47 146 276 438
401 93 277 279 807
402 100 109 232 341
403 62 224 346 899
404 64 199 385 415
405 71 296 481 945
406 52 300 308 833
407 63 64 302 966
408 31 160 191 579
409 44 73 496 980
410 69 234 445 942
411 42 81 360 913
412 86 153 269 584
413 81 270 309 433
414 4 235 321 481
415 85 177 274 809
416 77 218 366 799
417 45 196 387 978
418 63 186 450 664
419 93 148 180 237
420 98 171 334 442
421 52 88 198 599
422 3 224 306 324
423 58 261 359 625
424 1 136 184 339
425 38 272 494 640
426 87 173 221 258
427 38 161 174 535
428 43 161 191 586
429 82 95 363 469
430 10 60 208 869
431 82 268 363 883
432 33 275 456 908
433 5 123 321 489
434 42 93 477 996
435 22 116 176 674
436 69 267 340 744
437 46 277 314 997
438 30 215 446 852
439 38 75 242 387
440 64 96 157 984
441 19 168 269 330
442 33 70 162 280
443 19 181 284 442
444 20 158 348 630
445 60 236 259 677
446 76 200 245 723
447 97 154 461 740
448 15 88 282 742
449 69 230 319 577
450 4 108 163 449
451 66 271 476 700
452 22 261 377 666
453 80 276 298 602
454 74 123 207 749
455 54 72 466 583
456 9 179 395 433
457 36 108 444 838
458 52 211 466 515
459 87 97 258 310
460 77 289 346 883
461 36 212 476 548
462 21 130 305 561
463 36 193 409 819
464 71 242 495 701
465 83 185 407 479
466 71 254 404 409
467 67 241 397 749
468 44 289 409 708
469 77 238 453 625
470 84 147 414 442
471 44 55 264 569
472 100 199 233 609
473 60 128 448 928
474 6 95 244 636
475 97 198 259 307
476 40 110 128 299
477 91 138 390 673
478 81 231 268 334
479 100 290 341 570
480 85 193 350 993
481 62 70 93 518
482 5 244 371 486
483 98 221 443 874
484 54 166 372 382
485 46 149 411 974
486 45 209 427 662
487 21 129 265 613
488 85 93 107 435
489 30 210 289 846
490 14 143 462 575
491 71 237 287 438
492 52 173 227 694
493 83 296 365 703
494 95 117 357 564
495 92 113 333 438
496 64 254 467 832
497 42 151 383 957
498 87 148 451 874
499 4 105 396 635
500 84 128 187 677
501 86 90 218 996
502 27 243 352 997
503 94 118 416 520
504 26 58 327 816
505 64 205 426 550
506 1 155 485 755
507 80 292 353 695
508 64 186 385 467
509 47 223 461 919
510 54 80 304 517
511 97 124 147 901
512 38 90 170 267
513 36 242 243 614
514 17 154 194 981
515 56 254 292 602
516 4 202 491 737
517 27 240 315 755
518 84 92 231 731
519 69 167 338 539
520 13 88 442 870
521 64 245 314 446
522 90 262 417 425
523 44 248 424 993
524 24 177 391 532
525 42 212 240 675
526 79 122 163 458
527 75 96 464 695
528 29 251 317 955
529 30 184 259 609
530 89 208 345 487
531 94 273 410 836
532 34 290 487 636
533 44 178 224 354
534 95 174 361 965
535 84 99 344 583
536 25 177 312 786
537 92 113 384 692
538 80 170 459 932
539 98 148 294 637
540 5 76 105 306
541 19 52 496 900
542 39 146 478 948
543 88 262 298 948
544 46 298 443 941
545 64 70 451 900
546 100 273 475 997
547 1 175 306 414
548 46 84 168 611
549 5 156 258 579
550 15 144 228 677
551 86 178 294 553
552 95 120 406 868
553 10 35 449 780
554 82 151 411 768
555 51 82 455 785
556 57 195 203 744
557 30 175 262 900
558 67 77 281 784
559 11 297 378 413
560 56 184 432 515
561 96 289 409 547
562 64 91 181 789
563 61 76 297 792
564 54 237 494 565
565 55 86 206 954
566 36 219 319 659
567 98 106 263 623
568 55 69 307 668
569 18 25 66 83
570 95 137 500 868
571 39 238 311 391
572 86 220 484 681
573 46 245 359 625
574 72 190 477 627
575 35 247 314 902
576 99 200 278 360
577 90 143 341 481
578 32 52 451 873
579 65 188 490 595
580 58 162 249 873
581 64 162 171 346
582 75 207 287 808
583 88 219 291 362
584 64 84 91 567
585 8 267 409 588
586 37 171 205 368
587 15 173 423 447
588 34 116 222 467
589 74 197 323 640
590 86 115 452 606
591 53 64 471 579
592 84 284 392 999
593 32 181 282 959
594 61 192 433 780
595 96 268 333 389
596 31 295 472 554
597 5 273 366 375
598 13 224 259 315
599 26 97 319 895
600 47 78 277 596
